motor,cmd_duty,t,actual_duty,erpm,imotor,ibatt,id,iq,vin,fault,trips,qdrop,crc
left,-0.1,0.1160322490031831,0.1,0.0,0.15,0.12,-0.13,-0.06,42.6,0,0,0,0
left,-0.1,0.2514935110229999,-0.1,-15.0,0.94,0.24,0.79,-0.51,42.6,0,0,0,0
left,-0.15,0.0853327899822034,-0.15,-428.0,0.29,0.18,0.0,-0.29,42.6,0,0,0,0
left,-0.15,0.2102308059693314,-0.15,-919.0,0.25,0.2,-0.04,-0.25,42.6,0,0,0,0
left,-0.2,0.07479465199867263,-0.15,-898.0,0.19,0.2,0.01,-0.19,42.6,0,0,0,0
left,-0.2,0.19961494795279577,-0.2,-1367.0,0.34,0.22,0.0,-0.34,42.6,0,0,0,0
left,-0.25,0.08466794301057234,-0.25,-1391.0,0.11,0.18,-0.01,-0.11,42.6,0,0,0,0
left,-0.25,0.21936243202071637,-0.25,-1839.0,0.27,0.28,0.01,-0.27,42.6,0,0,0,0
left,-0.3,0.08499417698476464,-0.25,-1860.0,0.15,0.22,0.0,-0.15,42.6,0,0,0,0
left,-0.3,0.20967338199261576,-0.3,-2318.0,0.33,0.32,0.0,-0.33,42.6,0,0,0,0
left,-0.35,0.08493624703260139,-0.3,-2318.0,0.18,0.26,0.0,-0.18,42.6,0,0,0,0
left,-0.35,0.20973913802299649,-0.35,-2807.0,0.3,0.36,0.01,-0.3,42.6,0,0,0,0
left,-0.4,0.08488469396252185,-0.4,-2758.0,0.22,0.32,-0.01,-0.22,42.6,0,0,0,0
left,-0.4,0.20942735997959971,-0.4,-3333.0,0.32,0.42,0.02,-0.32,42.6,0,0,0,0
left,-0.45,0.07533964200410992,-0.4,-3265.0,0.21,0.34,-0.02,-0.21,42.6,0,0,0,0
left,-0.45,0.20063644897891209,-0.45,-3809.0,0.34,0.46,0.02,-0.34,42.6,0,0,0,0
left,-0.5,0.08510023599956185,-0.5,-3809.0,0.23,0.38,0.0,-0.23,42.6,0,0,0,0
left,-0.5,0.21000022097723559,-0.5,-4210.0,0.34,0.5,0.02,-0.34,42.6,0,0,0,0
left,-0.55,0.08525754004949704,-0.55,-4210.0,0.23,0.42,-0.03,-0.23,42.6,0,0,0,0
left,-0.55,0.22040501201990992,-0.55,-4705.0,0.34,0.56,0.03,-0.34,42.6,0,0,0,0
