host_time,sample_index,firmware_seq,firmware_time_s,mode,mode_name,dq_reference,cmdL,cmdR,rpmL,rpmR,iqL_A,iqR_A,idL_A,idR_A,idcL_A,idcR_A,hallL,hallR,dcl_raw,rla_raw,rlb_raw,dcr_raw,rrb_raw,rrc_raw,battery_V,temperature_C,foc_isr_cycles,foc_isr_us,foc_isr_load_pct,encoder_position,position_target,position_speed_ref_rpm,encoder_elec_angle_deg,encoder_rpm,encoder_sync_state,encoder_sync_text,hw_profile,hw_profile_name,foc_isr_cycles_max,enabled,timeout,left_fault,right_fault,calibrating,calibration_pct
2026-08-30T17:04:15.451,30,3322,0.600000,2,FOC SPD,generated rotor dq,20,20,561,541,0.5400,1.1500,-0.4400,0.9800,0.2600,1.2000,101,001,1919,1911,1966,1989,1910,1952,42.330,42.00,2991,46.7344,74.775,0,0,0,0.0,0,0,idle,1,two_hall,3635,1,0,0,0,0,100.0
2026-08-30T17:04:15.471,31,3323,0.620000,2,FOC SPD,generated rotor dq,20,20,554,555,0.4200,0.4500,-0.0300,0.3700,0.4800,0.7600,001,101,1931,1960,1971,1955,1890,1967,42.330,42.00,2991,46.7344,74.775,0,0,0,0.0,0,0,idle,1,two_hall,3635,1,0,0,0,0,100.0
2026-08-30T17:04:15.491,32,3324,0.640000,2,FOC SPD,generated rotor dq,20,20,547,534,0.6400,0.7100,-0.1200,-0.4400,0.5400,0.8000,011,110,1932,1998,1960,1962,1962,1922,42.330,42.00,3067,47.9219,76.675,0,0,0,0.0,0,0,idle,1,two_hall,3635,1,0,0,0,0,100.0
2026-08-30T17:04:15.512,33,3325,0.660000,2,FOC SPD,generated rotor dq,20,20,561,541,0.6300,0.2000,-0.2900,-0.0100,0.5800,0.8200,010,010,1933,2007,1926,1963,1974,1927,42.330,42.00,2979,46.5469,74.475,0,0,0,0.0,0,0,idle,1,two_hall,3635,1,0,0,0,0,100.0
2026-08-30T17:04:15.532,34,3326,0.680000,2,FOC SPD,generated rotor dq,20,20,547,534,0.4400,1.5700,-0.1900,1.8800,0.3600,1.4800,110,001,1921,1968,1957,1995,1904,1960,42.330,42.20,3071,47.9844,76.775,0,0,0,0.0,0,0,idle,1,two_hall,3636,1,0,0,0,0,100.0
2026-08-30T17:04:15.553,35,3327,0.700000,2,FOC SPD,generated rotor dq,20,20,554,547,0.7000,0.8800,-0.5100,0.0100,0.5800,0.6800,100,101,1935,1928,1949,1959,1840,1952,42.300,42.00,2981,46.5781,74.525,0,0,0,0.0,0,0,idle,1,two_hall,3636,1,0,0,0,0,100.0
2026-08-30T17:04:15.573,36,3328,0.720000,2,FOC SPD,generated rotor dq,20,20,540,541,0.6300,0.8400,0.6800,-0.7800,0.6400,0.8600,001,110,1936,2038,1970,1965,1953,1921,42.300,42.20,3072,48.0000,76.800,0,0,0,0.0,0,0,idle,1,two_hall,3636,1,0,0,0,0,100.0
2026-08-30T17:04:15.593,37,3329,0.740000,2,FOC SPD,generated rotor dq,20,20,554,547,0.4700,0.1300,-0.2000,0.5200,0.4400,0.7400,011,010,1929,1962,1997,1962,1951,1940,42.300,42.20,2979,46.5469,74.475,0,0,0,0.0,0,0,idle,1,two_hall,3636,1,0,0,0,0,100.0
2026-08-30T17:04:15.614,38,3330,0.760000,2,FOC SPD,generated rotor dq,20,20,554,541,0.9300,0.9400,0.5800,0.6000,0.3200,1.0800,010,001,1925,2005,1818,1983,1941,1966,42.300,42.20,3072,48.0000,76.800,0,0,0,0.0,0,0,idle,1,two_hall,3636,1,0,0,0,0,100.0
2026-08-30T17:04:15.634,39,3331,0.780000,2,FOC SPD,generated rotor dq,20,20,554,541,1.0200,1.1800,-0.4800,-0.3500,0.4000,1.0800,110,101,1925,2006,1864,1971,1853,1959,42.300,42.20,2983,46.6094,74.575,0,0,0,0.0,0,0,idle,1,two_hall,3636,1,0,0,0,0,100.0
2026-08-30T17:04:15.654,40,3332,0.800000,2,FOC SPD,generated rotor dq,20,20,554,541,1.3800,1.1300,0.4100,-0.8300,0.6800,1.1600,100,100,1946,1898,1989,1980,1963,1919,42.300,42.20,3134,48.9688,78.350,0,0,0,0.0,0,0,idle,1,two_hall,3636,1,0,0,0,0,100.0
2026-08-30T17:04:15.678,41,3333,0.820000,2,FOC SPD,generated rotor dq,20,20,554,547,0.6800,0.1400,-0.6800,-0.0300,0.5000,0.7000,101,010,1929,1900,1960,1951,1967,1925,42.300,42.20,2992,46.7500,74.800,0,0,0,0.0,0,0,idle,1,two_hall,3636,1,0,0,0,0,100.0
2026-08-30T17:04:15.695,42,3334,0.840000,2,FOC SPD,generated rotor dq,20,20,561,534,0.6600,0.7700,-0.2600,0.4300,0.5600,1.2800,001,011,1931,1957,2000,1985,1929,1958,42.300,42.20,2986,46.6562,74.650,0,0,0,0.0,0,0,idle,1,two_hall,3636,1,0,0,0,0,100.0
