abort,case,fault,hall_bad,isr_max,kd,ki,kp,max_sample_diq_a,min_norm_erpm,motor,overshoot_pct,peak_current_a,peak_duty,peak_erpm,peak_iq_a,period_reject,qdrop,ramp,repeat,rise90_s,seq_reject,steady_erpm,steady_error_pct,steady_std,stop_reverse_erpm,target_erpm
,left_ramp1500_+300_r2,0,0,4464,0.0,0.02,0.009,0.25,0.0,left,42.66666666666667,0.43,0.084,428.0,0.43,60,0,1500,2,0.9272917089983821,0,287.2,-4.266666666666671,7.30479294709987,0.0,300
,left_ramp1500_-300_r2,0,0,4464,0.0,0.02,0.009,0.19,-0.0,left,44.666666666666664,0.37,0.088,434.0,0.37,61,0,1500,2,0.9286243990063667,0,295.4,-1.533333333333341,6.829348431585549,0.0,-300
,right_ramp600_+300_r1,0,0,4464,0.0,0.022,0.0095,0.25,0.0,right,62.33333333333333,0.45,0.092,487.0,0.44,39,0,600,1,1.1936649680137634,0,312.0,4.0,10.099504938362077,0.0,300
,right_ramp600_-300_r1,0,0,4464,0.0,0.022,0.0095,0.15999999999999998,-0.0,right,9.666666666666666,0.36,0.072,329.0,0.36,39,0,600,1,0.8627132090041414,0,299.4,-0.2000000000000076,6.216108107168021,0.0,-300
,right_ramp600_+300_r2,0,0,4464,0.0,0.022,0.0095,0.14,0.0,right,14.000000000000002,0.34,0.074,342.0,0.34,39,0,600,2,0.8623539950349368,0,286.6,-4.466666666666659,3.1368774282716245,0.0,300
,right_ramp600_-300_r2,0,0,4464,0.0,0.022,0.0095,0.16999999999999998,-0.0,right,31.0,0.34,0.083,393.0,0.34,40,0,600,2,0.9955755030387081,0,302.6,0.8666666666666742,5.535341001239219,0.0,-300
,right_ramp900_+300_r1,0,0,4464,0.0,0.022,0.0095,0.2,0.0,right,0.0,0.28,0.072,295.0,0.28,40,0,900,1,1.326071354036685,0,285.4,-4.866666666666674,5.238320341483518,0.0,300
,right_ramp900_-300_r1,0,0,4464,0.0,0.022,0.0095,0.16,-0.0,right,39.666666666666664,0.31,0.085,419.0,0.31,41,0,900,1,0.9960526580107398,0,304.2,1.3999999999999961,6.04648658313239,0.0,-300
,right_ramp900_+300_r2,0,0,4464,0.0,0.022,0.0095,0.15,0.0,right,3.6666666666666665,0.31,0.073,311.0,0.3,41,0,900,2,0.7956823419663124,0,282.6,-5.799999999999993,2.727636339397171,0.0,300
,right_ramp900_-300_r2,0,0,4464,0.0,0.022,0.0095,0.16,-0.0,right,34.0,0.4,0.08,402.0,0.38,41,0,900,2,0.92897519498365,0,307.4,2.4666666666666592,4.029888335921977,0.0,-300
,right_ramp1200_+300_r1,0,0,4464,0.0,0.022,0.0095,0.16,0.0,right,12.0,0.29,0.077,336.0,0.28,41,0,1200,1,0.7968031120253727,0,283.8,-5.399999999999997,5.2687759489277965,0.0,300
,right_ramp1200_-300_r1,0,0,4464,0.0,0.022,0.0095,0.15,-0.0,right,40.33333333333333,0.33,0.081,421.0,0.31,42,0,1200,1,0.928781947994139,0,300.8,0.2666666666666705,8.634813257969162,0.0,-300
,right_ramp1200_+300_r2,0,0,4464,0.0,0.022,0.0095,0.19,0.0,right,20.333333333333332,0.35,0.077,361.0,0.34,42,0,1200,2,0.7964056360069662,0,284.8,-5.066666666666663,4.995998398718719,246.0,300
,right_ramp1200_-300_r2,0,0,4464,0.0,0.022,0.0095,0.18,-0.0,right,39.0,0.37,0.083,417.0,0.37,43,0,1200,2,0.9285576610127464,0,295.6,-1.466666666666659,8.357032966310472,0.0,-300
,right_ramp1500_+300_r1,0,0,4464,0.0,0.022,0.0095,0.18,0.0,right,2.3333333333333335,0.28,0.073,307.0,0.28,43,0,1500,1,0.7296244220342487,0,280.0,-6.666666666666667,2.756809750418044,0.0,300
,right_ramp1500_-300_r1,0,0,4464,0.0,0.022,0.0095,0.16,-0.0,right,7.000000000000001,0.3,0.075,321.0,0.3,43,0,1500,1,0.795331776025705,0,295.2,-1.6000000000000039,8.23164625090267,0.0,-300
,right_ramp1500_+300_r2,0,0,4464,0.0,0.022,0.0095,0.19999999999999998,0.0,right,40.666666666666664,0.36,0.084,422.0,0.36,45,0,1500,2,0.9289971929974854,0,281.8,-6.066666666666663,4.578209256903839,0.0,300
,right_ramp1500_-300_r2,0,0,4464,0.0,0.022,0.0095,0.16,-0.0,right,8.333333333333332,0.31,0.074,325.0,0.3,45,0,1500,2,0.7973764180205762,0,295.2,-1.6000000000000039,7.4404300950953095,0.0,-300
